Date,Open,High,Low,Close,Adj Close,Volume
1988-01-28,3.925860,3.925860,3.925860,3.925860,0.831273,0
1988-01-31,null,null,null,null,null,null
1988-02-01,null,null,null,null,null,null
1988-02-02,null,null,null,null,null,null
1988-02-03,null,null,null,null,null,null
1988-02-04,null,null,null,null,null,null
1988-02-07,null,null,null,null,null,null
1988-02-08,null,null,null,null,null,null
1988-02-09,null,null,null,null,null,null
1988-02-10,null,null,null,null,null,null
1988-02-11,null,null,null,null,null,null
1988-02-14,null,null,null,null,null,null
1988-02-15,null,null,null,null,null,null
1988-02-16,null,null,null,null,null,null
1988-02-17,null,null,null,null,null,null
1988-02-18,null,null,null,null,null,null
1988-02-21,null,null,null,null,null,null
1988-02-22,null,null,null,null,null,null
1988-02-23,null,null,null,null,null,null
1988-02-24,null,null,null,null,null,null
1988-02-25,null,null,null,null,null,null
1988-02-28,4.033420,4.033420,4.033420,4.033420,0.854048,0
1988-02-29,null,null,null,null,null,null
1988-03-01,null,null,null,null,null,null
1988-03-02,null,null,null,null,null,null
1988-03-03,null,null,null,null,null,null
1988-03-06,null,null,null,null,null,null
1988-03-07,null,null,null,null,null,null
1988-03-08,null,null,null,null,null,null
1988-03-09,null,null,null,null,null,null
1988-03-10,null,null,null,null,null,null
1988-03-13,null,null,null,null,null,null
1988-03-14,null,null,null,null,null,null
1988-03-15,null,null,null,null,null,null
1988-03-16,null,null,null,null,null,null
1988-03-17,null,null,null,null,null,null
1988-03-21,null,null,null,null,null,null
1988-03-22,null,null,null,null,null,null
1988-03-23,null,null,null,null,null,null
1988-03-24,null,null,null,null,null,null
1988-03-25,null,null,null,null,null,null
1988-03-28,null,null,null,null,null,null
1988-03-29,null,null,null,null,null,null
1988-03-30,null,null,null,null,null,null
1988-03-31,4.535360,4.535360,4.535360,4.535360,0.960331,0
1988-04-01,null,null,null,null,null,null
1988-04-04,null,null,null,null,null,null
1988-04-05,null,null,null,null,null,null
1988-04-06,null,null,null,null,null,null
1988-04-07,null,null,null,null,null,null
1988-04-08,null,null,null,null,null,null
1988-04-11,null,null,null,null,null,null
1988-04-12,null,null,null,null,null,null
1988-04-13,null,null,null,null,null,null
1988-04-14,null,null,null,null,null,null
1988-04-15,null,null,null,null,null,null
1988-04-18,null,null,null,null,null,null
1988-04-19,null,null,null,null,null,null
1988-04-20,null,null,null,null,null,null
1988-04-21,null,null,null,null,null,null
1988-04-22,null,null,null,null,null,null
1988-04-25,null,null,null,null,null,null
1988-04-26,null,null,null,null,null,null
1988-04-27,null,null,null,null,null,null
1988-04-28,null,null,null,null,null,null
1988-04-29,4.660840,4.660840,4.660840,4.660840,0.986900,0
1988-05-02,null,null,null,null,null,null
1988-05-03,null,null,null,null,null,null
1988-05-04,null,null,null,null,null,null
1988-05-05,null,null,null,null,null,null
1988-05-06,null,null,null,null,null,null
1988-05-09,null,null,null,null,null,null
1988-05-10,null,null,null,null,null,null
1988-05-11,null,null,null,null,null,null
1988-05-12,null,null,null,null,null,null
1988-05-13,null,null,null,null,null,null
1988-05-16,null,null,null,null,null,null
1988-05-17,null,null,null,null,null,null
1988-05-18,null,null,null,null,null,null
1988-05-19,null,null,null,null,null,null
1988-05-20,null,null,null,null,null,null
1988-05-23,null,null,null,null,null,null
1988-05-24,null,null,null,null,null,null
1988-05-25,null,null,null,null,null,null
1988-05-26,null,null,null,null,null,null
1988-05-27,null,null,null,null,null,null
1988-05-30,null,null,null,null,null,null
1988-05-31,5.557150,5.557150,5.557150,5.557150,1.176688,0
1988-06-01,null,null,null,null,null,null
1988-06-02,null,null,null,null,null,null
1988-06-03,null,null,null,null,null,null
1988-06-06,null,null,null,null,null,null
1988-06-07,null,null,null,null,null,null
1988-06-08,null,null,null,null,null,null
1988-06-09,null,null,null,null,null,null
1988-06-10,null,null,null,null,null,null
1988-06-13,null,null,null,null,null,null
1988-06-14,null,null,null,null,null,null
1988-06-15,null,null,null,null,null,null
1988-06-16,null,null,null,null,null,null
1988-06-17,null,null,null,null,null,null
1988-06-20,null,null,null,null,null,null
1988-06-21,null,null,null,null,null,null
1988-06-22,null,null,null,null,null,null
1988-06-23,null,null,null,null,null,null
1988-06-24,null,null,null,null,null,null
1988-06-27,null,null,null,null,null,null
1988-06-28,null,null,null,null,null,null
1988-06-29,null,null,null,null,null,null
1988-06-30,5.349100,5.349100,5.349100,5.349100,1.132635,0
1988-07-01,null,null,null,null,null,null
1988-07-04,null,null,null,null,null,null
1988-07-05,null,null,null,null,null,null
1988-07-06,null,null,null,null,null,null
1988-07-07,null,null,null,null,null,null
1988-07-08,null,null,null,null,null,null
1988-07-11,null,null,null,null,null,null
1988-07-12,null,null,null,null,null,null
1988-07-13,null,null,null,null,null,null
1988-07-14,null,null,null,null,null,null
1988-07-15,null,null,null,null,null,null
1988-07-18,null,null,null,null,null,null
1988-07-19,null,null,null,null,null,null
1988-07-20,null,null,null,null,null,null
1988-07-21,null,null,null,null,null,null
1988-07-22,null,null,null,null,null,null
1988-07-25,null,null,null,null,null,null
1988-07-26,null,null,null,null,null,null
1988-07-27,null,null,null,null,null,null
1988-07-28,null,null,null,null,null,null
1988-07-29,5.740500,5.740500,5.740500,5.740500,1.215511,0
1988-08-01,null,null,null,null,null,null
1988-08-02,null,null,null,null,null,null
1988-08-03,null,null,null,null,null,null
1988-08-04,null,null,null,null,null,null
1988-08-05,null,null,null,null,null,null
1988-08-08,null,null,null,null,null,null
1988-08-09,null,null,null,null,null,null
1988-08-10,null,null,null,null,null,null
1988-08-11,null,null,null,null,null,null
1988-08-12,null,null,null,null,null,null
1988-08-15,null,null,null,null,null,null
1988-08-16,null,null,null,null,null,null
1988-08-17,null,null,null,null,null,null
1988-08-18,null,null,null,null,null,null
1988-08-19,null,null,null,null,null,null
1988-08-22,null,null,null,null,null,null
1988-08-23,null,null,null,null,null,null
1988-08-24,null,null,null,null,null,null
1988-08-25,null,null,null,null,null,null
1988-08-26,null,null,null,null,null,null
1988-08-29,null,null,null,null,null,null
1988-08-30,null,null,null,null,null,null
1988-08-31,6.020070,6.020070,6.020070,6.020070,1.274708,0
1988-09-01,null,null,null,null,null,null
1988-09-02,null,null,null,null,null,null
1988-09-05,null,null,null,null,null,null
1988-09-06,null,null,null,null,null,null
1988-09-07,null,null,null,null,null,null
1988-09-08,null,null,null,null,null,null
1988-09-09,null,null,null,null,null,null
1988-09-12,null,null,null,null,null,null
1988-09-13,null,null,null,null,null,null
1988-09-14,null,null,null,null,null,null
1988-09-15,null,null,null,null,null,null
1988-09-16,null,null,null,null,null,null
1988-09-19,null,null,null,null,null,null
1988-09-20,null,null,null,null,null,null
1988-09-21,null,null,null,null,null,null
1988-09-22,null,null,null,null,null,null
1988-09-23,null,null,null,null,null,null
1988-09-26,null,null,null,null,null,null
1988-09-27,null,null,null,null,null,null
1988-09-28,null,null,null,null,null,null
1988-09-29,null,null,null,null,null,null
