pred,true
269543.927226,234999.99999999994
557516.040622,625000.0000000002
105996.965549,171000.00000000003
187414.481862,163000.00000000012
150256.111811,171899.99999999988
219802.306022,200499.99999999997
296112.451805,239000.00000000003
318491.674559,285000.0
116322.874748,119500.0
98289.5110402,115000.00000000009
118140.474741,154900.00000000006
86252.2779387,93000.00000000001
217040.925246,249999.99999999983
265944.321371,392500.0000000001
377244.598703,745000.0
175897.886615,120000.00000000006
123012.605238,186700.00000000003
132523.535025,104899.99999999994
52455.060743,95000.00000000006
211142.915651,261999.99999999985
198495.217599,194999.99999999994
178598.125299,189000.0
173271.841518,167999.99999999994
171681.740824,173999.99999999997
66224.3175868,124999.99999999991
154451.662275,165000.00000000006
146973.486831,158000.00000000012
173098.404377,176000.00000000003
237549.679081,219210.00000000012
155203.536679,144000.00000000012
177714.014215,177999.99999999994
147019.390001,147999.9999999999
49666.8600258,116049.99999999997
209737.460736,197900.00000000003
125220.519346,117000.0
206267.529908,213000.00000000003
159488.443325,153499.9999999999
265439.951721,271900.0000000001
125639.557075,107000.00000000003
218887.446219,200000.00000000006
150136.157967,139999.9999999999
275041.177741,289999.9999999999
189913.628696,189000.0
148133.787328,163999.99999999985
106389.666504,113000.0
163980.490399,144999.99999999994
137538.888367,134500.00000000006
118727.087001,124999.99999999991
104145.27311,112000.00000000003
222446.819125,229456.0000000001
77795.2233687,80499.99999999999
83328.9642606,91500.00000000001
133430.527578,115000.00000000009
146634.274083,134000.00000000006
148854.762986,142999.9999999999
132382.134786,137899.99999999994
202669.23698,184000.0
142103.825186,144999.99999999994
253109.019636,214000.0000000001
164414.3348,146999.9999999999
355886.897168,367293.99999999994
115921.362765,126999.99999999996
91881.6381678,190000.00000000012
93116.5332137,132499.99999999994
110843.85189,101800.00000000003
126557.901872,142000.00000000012
113553.17983,130000.00000000006
125259.802499,138887.00000000012
161310.806466,175499.99999999988
193587.179785,194999.99999999994
140356.887392,142500.0
239350.925516,265900.0000000002
223713.435007,224899.99999999988
230096.017457,248327.99999999988
182874.231697,170000.0
324130.794401,464999.9999999997
253015.21949,230000.0000000002
231721.305098,177999.99999999994
227893.666815,186499.99999999985
164247.057195,169900.00000000015
75649.3401385,129499.99999999991
124209.555338,119000.0000000001
292482.362343,243999.9999999998
197099.218455,171750.00000000003
103396.863773,130000.00000000006
360565.269227,293999.9999999999
205396.432672,165400.00000000006
122452.093225,127499.99999999991
352259.315317,301500.00000000023
113154.476368,99900.0
228438.894405,190000.00000000012
171507.359897,151000.0000000001
156911.326598,180999.99999999985
137097.96901,128899.9999999999
122571.636167,161500.00000000006
146981.393263,180499.99999999988
133357.725552,180999.99999999985
164762.291026,183899.99999999985
122176.098726,122000.0000000001
325355.477154,378499.99999999977
344926.164474,381000.00000000035
79511.9732375,144000.00000000012
165049.277128,260000.00000000015
159894.478354,185749.9999999999
136958.038919,137000.00000000012
189142.067164,177000.00000000006
159846.888877,138999.99999999994
87398.4178575,137000.00000000012
158034.406821,161999.99999999988
244137.29996,197900.00000000003
193995.79064,237000.00000000003
84019.5027219,68399.99999999996
215889.059559,226999.9999999998
131169.124818,179999.99999999997
155200.045003,150499.9999999999
90304.5011317,138999.99999999994
197988.233288,169000.00000000012
120972.130259,132499.99999999994
172250.961184,142999.9999999999
168450.255508,190000.00000000012
251993.805704,277999.9999999999
317805.387377,280999.9999999998
158427.454101,180499.99999999988
113048.615566,119500.0
173980.699312,107500.00000000003
183699.97472,162900.0000000001
132693.845983,115000.00000000009
115741.181718,138500.0000000001
133210.407276,155000.0
157453.803688,139999.9999999999
497176.334717,159999.9999999999
178584.323917,154000.00000000003
295583.011598,225000.00000000015
138157.21086,177499.99999999997
305012.962674,289999.9999999999
264697.663371,232000.00000000015
138647.496867,130000.00000000006
314864.884915,324999.9999999999
216353.381308,202500.00000000003
133154.693393,137999.99999999988
189568.724324,146999.9999999999
160834.415301,179199.9999999999
268356.9995,334999.9999999998
206107.994254,203000.0000000001
181360.559296,302000.00000000023
310318.691029,333168.0000000001
126447.723664,119000.0000000001
240044.286496,206900.00000000003
278009.236966,295493.00000000023
185546.033637,208899.99999999988
265096.411442,275000.00000000006
121924.684842,111000.00000000004
215520.910778,156500.00000000006
51277.0708701,72499.99999999996
268342.638733,190000.00000000012
112571.036433,82500.00000000001
324355.739252,146999.9999999999
94053.5853304,54999.99999999995
89990.7671948,79000.00000000006
103060.854304,130500.00000000012
119156.946304,256000.00000000012
184780.150373,176499.9999999999
261903.227334,226999.9999999998
141857.650071,132499.99999999994
91388.7264881,100000.00000000001
155866.888178,125499.99999999991
118265.609175,124999.99999999991
188864.460441,167900.00000000003
172859.230836,135000.00000000012
42353.5920726,52500.000000000015
254524.705416,200000.00000000006
109745.835132,128500.0000000001
112229.192052,123000.00000000003
152166.087626,155000.0
251035.045399,228500.00000000003
132326.222464,177000.00000000006
200679.287386,155835.00000000012
134601.007203,108500.00000000009
199169.202096,262499.9999999999
311038.226757,283462.9999999998
198563.050357,215000.00000000006
125538.367523,122000.0000000001
152115.894123,200000.00000000006
200110.002903,171000.00000000003
149320.674494,134899.9999999999
323737.478475,410000.00000000006
237432.509682,234999.99999999994
214587.657781,170000.0
105459.212293,109999.99999999991
154812.557928,149899.99999999994
173107.74159,177499.99999999997
305121.805638,314999.99999999994
254582.8607,189000.0
213553.517079,260000.00000000015
148500.93907,104899.99999999994
174395.488864,156932.00000000012
132674.47734,144151.99999999994
239298.906935,216000.00000000003
210797.317571,192999.99999999997
130864.679287,126999.99999999996
142139.350199,144000.00000000012
221641.494606,232000.00000000015
122803.179207,105000.00000000004
192690.031623,165499.99999999994
263289.231009,274299.99999999977
493840.113028,466499.9999999999
264836.843189,249999.99999999983
263337.347978,239000.00000000003
106632.617094,90999.99999999996
133607.01415,117000.0
98507.1347089,83000.00000000001
132961.21199,167499.9999999999
70927.6345704,58499.99999999999
259519.301022,237499.99999999994
211411.895182,156999.9999999999
212964.067142,112000.00000000003
109986.509245,105000.00000000004
116191.822324,125499.99999999991
248066.363565,249999.99999999983
97010.4863375,135999.99999999988
338749.831927,377499.9999999999
139705.728255,130999.99999999993
229412.709948,234999.99999999994
136600.259168,124000.0000000001
102528.696315,123000.00000000003
173226.857785,163000.00000000012
219940.337331,246578.00000000012
315836.916109,281212.9999999998
157838.667656,159999.9999999999
123512.381274,137500.0
120321.54355,137999.99999999988
147861.403573,137449.99999999988
126985.225606,120000.00000000006
185395.188765,192999.99999999997
186606.971899,193879.00000000006
287651.758763,282922.0000000002
86888.1593881,105000.00000000004
251230.14711,275000.00000000006
140073.298511,132999.99999999997
106714.728802,112000.00000000003
173993.526209,125499.99999999991
240945.301461,215000.00000000006
235983.037926,230000.0000000002
133539.452255,139999.9999999999
66232.7283643,89999.99999999997
220582.485948,256999.9999999998
139727.136268,207000.0000000001
220084.530336,175899.99999999988
223097.897921,122499.9999999999
318400.941637,340000.00000000006
150139.225211,124000.0000000001
224153.86025,222999.99999999997
193933.493586,179900.0
137406.364741,127499.99999999991
142649.846469,136500.0000000001
88157.6349996,274970.0
145862.764456,144000.00000000012
190102.07275,142000.00000000012
290873.039736,271000.0
99842.9738971,139999.9999999999
117970.761729,119000.0000000001
196257.199216,182900.00000000012
148974.594557,192140.0000000001
149631.061984,143749.99999999997
100260.583868,64500.00000000002
199166.307498,186499.99999999985
123748.417231,159999.9999999999
140164.564211,173999.99999999997
102433.865937,120499.99999999994
330308.691034,394616.9999999999
144737.245373,149700.00000000012
202018.960672,197000.00000000012
242796.475558,190999.99999999997
136872.034759,149299.9999999999
310255.294754,310000.0
44624.0727308,121000.0
171828.978214,179600.0
177525.713443,129000.00000000006
134110.03543,157900.00000000006
271880.705302,240000.00000000015
121559.535746,112000.00000000003
81915.3901372,92000.0
102921.387807,135999.99999999988
290998.631373,287090.00000000006
136697.826599,144999.99999999994
131574.399416,84500.00000000004
192550.64612,185000.00000000006
180815.761569,175000.00000000003
211462.43547,210000.0000000001
258120.338294,266500.00000000006
174217.614989,142124.99999999997
167479.271797,147500.0
