pred2,true2
211877.95022,234999.99999999994
482774.364872,625000.0000000002
142028.324624,171000.00000000003
165391.402805,163000.00000000012
160392.919158,171899.99999999988
213347.04967,200499.99999999997
222500.648942,239000.00000000003
315867.951912,285000.0
117716.648105,119500.0
111922.070885,115000.00000000009
128919.414364,154900.00000000006
93371.2204666,93000.00000000001
243055.477499,249999.99999999983
279204.374018,392500.0000000001
473016.138126,745000.0
149321.436308,120000.00000000006
192075.759945,186700.00000000003
126994.956053,104899.99999999994
86282.39289,95000.00000000006
264423.729141,261999.99999999985
185997.28404,194999.99999999994
186734.130661,189000.0
191078.037187,167999.99999999994
172390.588641,173999.99999999997
123499.368314,124999.99999999991
156190.408619,165000.00000000006
151109.311225,158000.00000000012
165661.721143,176000.00000000003
231312.360226,219210.00000000012
143780.457279,144000.00000000012
176375.910048,177999.99999999994
143522.215058,147999.9999999999
91728.3119551,116049.99999999997
194893.655987,197900.00000000003
132240.088849,117000.0
204870.78665,213000.00000000003
147154.379197,153499.9999999999
273759.787695,271900.0000000001
116947.303186,107000.00000000003
222131.159423,200000.00000000006
145660.551747,139999.9999999999
301547.274349,289999.9999999999
190195.167359,189000.0
210559.50892,163999.99999999985
80648.7552285,113000.0
144287.981519,144999.99999999994
127112.375971,134500.00000000006
110563.71133,124999.99999999991
128137.02825,112000.00000000003
231497.507636,229456.0000000001
78739.3511938,80499.99999999999
90803.1585545,91500.00000000001
102899.037592,115000.00000000009
128912.855579,134000.00000000006
158187.562272,142999.9999999999
138224.870916,137899.99999999994
203420.908166,184000.0
149569.381712,144999.99999999994
242495.937223,214000.0000000001
150787.033546,146999.9999999999
344825.207924,367293.99999999994
135784.679347,126999.99999999996
165825.643678,190000.00000000012
131228.457791,132499.99999999994
100785.602962,101800.00000000003
126979.864087,142000.00000000012
108946.026115,130000.00000000006
144741.921665,138887.00000000012
170608.057331,175499.99999999988
209817.795592,194999.99999999994
142704.622732,142500.0
238961.955053,265900.0000000002
207922.839025,224899.99999999988
254213.61921,248327.99999999988
172398.195988,170000.0
403723.089532,464999.9999999997
207900.784129,230000.0000000002
206447.218261,177999.99999999994
203128.326035,186499.99999999985
137014.454924,169900.00000000015
146064.636652,129499.99999999991
120367.478625,119000.0000000001
268023.481695,243999.9999999998
194045.539593,171750.00000000003
105305.980458,130000.00000000006
273720.683205,293999.9999999999
181811.34592,165400.00000000006
135795.851933,127499.99999999991
304021.472277,301500.00000000023
88149.093218,99900.0
191377.41734,190000.00000000012
159280.766629,151000.0000000001
194503.125776,180999.99999999985
124117.230813,128899.9999999999
149724.420464,161500.00000000006
164652.263793,180499.99999999988
153244.406874,180999.99999999985
179974.42686,183899.99999999985
121170.550545,122000.0000000001
322912.141131,378499.99999999977
370143.777167,381000.00000000035
131185.72509,144000.00000000012
248888.081468,260000.00000000015
167074.834645,185749.9999999999
131329.851849,137000.00000000012
173288.829046,177000.00000000006
146447.259223,138999.99999999994
146241.86736,137000.00000000012
158462.537495,161999.99999999988
194876.853733,197900.00000000003
232924.580413,237000.00000000003
75763.1428197,68399.99999999996
209943.517152,226999.9999999998
196888.273951,179999.99999999997
150054.5149,150499.9999999999
118897.35468,138999.99999999994
191736.876521,169000.00000000012
134127.373687,132499.99999999994
150575.974129,142999.9999999999
180335.664495,190000.00000000012
257184.228188,277999.9999999999
293577.160078,280999.9999999998
155698.009778,180499.99999999988
118625.975451,119500.0
116367.574735,107500.00000000003
180379.016163,162900.0000000001
114558.732084,115000.00000000009
121881.828463,138500.0000000001
151970.96571,155000.0
148328.917356,139999.9999999999
826555.675432,159999.9999999999
160569.57906,154000.00000000003
238519.659625,225000.00000000015
155058.807691,177499.99999999997
300364.101366,289999.9999999999
236566.704149,232000.00000000015
149978.406818,130000.00000000006
339364.898943,324999.9999999999
210129.972922,202500.00000000003
142750.305741,137999.99999999988
145403.983264,146999.9999999999
166113.479811,179199.9999999999
298204.169645,334999.9999999998
209641.329975,203000.0000000001
